Site;Chronicle;Rate;H Error
17.0;0.0;2000.0;0.35737394615816
17.0;0.0;2250.0;0.3393159415956775
17.0;0.0;3000.0;0.385535287772176
17.0;0.0;3182.0;0.3745541726439292
17.0;0.0;3652.0;0.360705584925762
18.0;0.0;1.0;0.0
18.0;0.0;2.0;0.0016343316961933
18.0;0.0;7.0;0.005121275722781
18.0;0.0;15.0;0.0083868069408391
18.0;0.0;21.0;0.0103401025068759
18.0;0.0;30.0;0.013022431319224
18.0;0.0;45.0;0.0176016239315654
18.0;0.0;50.0;0.0184301129076335
18.0;0.0;60.0;0.0207932237891045
18.0;0.0;75.0;0.0236715852474286
18.0;0.0;90.0;0.0274766933281444
18.0;0.0;100.0;0.0298563797653111
18.0;0.0;125.0;0.0342707370975021
18.0;0.0;150.0;0.0371139385256656
18.0;0.0;182.0;0.0455999859724022
18.0;0.0;200.0;0.0415799956325019
18.0;0.0;250.0;0.0465683986285258
18.0;0.0;300.0;0.0475726521968069
18.0;0.0;330.0;0.0475380767596782
18.0;0.0;365.0;0.0481160170316837
18.0;0.0;550.0;0.0489711306387264
18.0;0.0;640.0;0.0492713675456951
18.0;0.0;730.0;0.0497953805544372
18.0;0.0;1000.0;0.0496331938629077
18.0;0.0;1500.0;0.0507208499426089
18.0;0.0;2000.0;0.0510039715036726
18.0;0.0;2250.0;0.0509764643146258
18.0;0.0;3000.0;0.0517286126819821
18.0;0.0;3182.0;0.0517182968701426
18.0;0.0;3652.0;0.0515095706017609
19.0;0.0;1.0;0.0
19.0;0.0;2.0;0.0072548607901231
19.0;0.0;7.0;0.0313874267323508
19.0;0.0;15.0;0.0510183289905755
19.0;0.0;21.0;0.064328608386753
19.0;0.0;30.0;0.0866235149493999
19.0;0.0;45.0;0.1194574550329494
19.0;0.0;50.0;0.1313613472333877
19.0;0.0;60.0;0.152162987955307
19.0;0.0;75.0;0.1701765068900256
19.0;0.0;90.0;0.2019039969055668
19.0;0.0;100.0;0.2125258932220959
19.0;0.0;125.0;0.2530179111076082
19.0;0.0;150.0;0.2680949006101948
19.0;0.0;182.0;0.3536643637347382
19.0;0.0;200.0;0.3253392003698516
19.0;0.0;250.0;0.4087089639478045
19.0;0.0;300.0;0.4205444248703545
19.0;0.0;330.0;0.4166164199836191
19.0;0.0;365.0;0.4183549524657499
19.0;0.0;550.0;0.4374146158115595
19.0;0.0;640.0;0.4388664683208975
19.0;0.0;730.0;0.4604984753848192
19.0;0.0;1000.0;0.4550910862877314
19.0;0.0;1500.0;0.454996234122652
19.0;0.0;2000.0;0.4708378004954254
19.0;0.0;2250.0;0.4673914484169321
19.0;0.0;3000.0;0.4932030017023003
19.0;0.0;3182.0;0.4894907706392651
19.0;0.0;3652.0;0.4840729088696178
20.0;0.0;1.0;0.0
