Site_number,Approx,Chronicle,H Error,Rate,Execution Time,Number of Lines,Satured Zone Area,Vulnerability Sum,Vulnerability Rate,Global Area of site (in cells),Saturation Rate
5,1,0,0.085218289407044,0.2,2154,62,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,0,0.095466672755819,0.25,1230,50,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,0,0.105045627724232,0.4,1508,32,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,0,0.118623205363992,0.5,1259,26,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,0,0.124517730699888,0.8,1174,17,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,0,0.13372765110409,1,1026,14,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,0,0.137611989155213,2,745,8,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,1,0,0,40020,15341,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,1,0.069542667557421,0.05,5156,239,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,1,0.083920964037499,0.1,4449,122,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,1,0.100836265840104,0.2,3392,62,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,1,0.113382372452011,0.25,2846,50,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,1,0.153306042357647,0.4,2105,32,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,1,0.162561623395023,0.5,1072,26,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,1,0.164943928621072,0.8,1080,17,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,1,0.171074496550508,1,786,14,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,1,0.191161292886027,2,484,8,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
6,0,0,0,1,48240,15341,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,0,0,0.00306381676484,2,28223,7671,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,0,0,0.014216343889513,7,13481,2193,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,0,0,0.042559475970536,30,6155,513,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,0,0,0.10683068407398,90,4292,172,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,0,0,0.192654389194869,182,2255,86,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,0,0,0.231376919745557,365,1240,44,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,0,0,0.267396761176696,730,569,23,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,0,0,0.297834143512229,3652,149,6,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,0,1,0,1,43608,15341,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,0,1,0.004528006736161,2,25105,7671,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,0,1,0.021518544904307,7,12316,2193,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,0,1,0.066493149429512,30,6502,513,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,0,1,0.17716843707251,90,4607,172,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,0,1,0.356377348020444,182,2142,86,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,0,1,0.394013282223536,365,1142,44,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,0,1,0.415872910796626,730,543,23,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,0,1,0.458326694440281,3652,115,6,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,0,0,0,48240,15341,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,0,0.006633270938112,0.0002,20565,6597,670,521.939398588959,0.024208691956816,21560,0.031076066790353
