Site;Rate;H Error;SubCatch
35;90;0.0489208359766;9.0
35;90;0.205651067122906;12.0
35;90;0.036544170049638;11.0
35;90;0.0664451143125573;13.0
35;182; 0.0023704869407504695;2.0
35;182; 0.003631852999613589;7.0
35;182; 0.002726176735553213;6.0
35;182; 0.0018106717849554357;5.0
35;182; 0.0010399296135287478;4.0
35;182; 0.0036062255865010433;8.0
35;182; 0.0031028964881321995;9.0
35;182; 0.0030016882065456844;12.0
35;182; 0.002382762207432187;11.0
35;182; 0.0026145668813968414;13.0
35;365;0.3354194644468199;2.0
35;365;0.1887013125316086;7.0
35;365;0.1273314119849048;6.0
35;365;0.1680150677179108;5.0
35;365;0.1732266538130741;4.0
35;365;0.2890753593228852;8.0
35;365;0.0795270086854965;9.0
35;365;0.5988163462371279;12.0
35;365;0.0627550165659134;11.0
35;365;0.148802697767409;13.0
35;730; 0.0023704869407504695;2.0
35;730; 0.003631852999613589;7.0
35;730; 0.002726176735553213;6.0
35;730; 0.0018106717849554357;5.0
35;730; 0.0010399296135287478;4.0
35;730; 0.0036062255865010433;8.0
35;730; 0.0031028964881321995;9.0
35;730; 0.0030016882065456844;12.0
35;730; 0.002382762207432187;11.0
35;730; 0.0026145668813968414;13.0
35;3652; 0.0023704869407504695;2.0
35;3652; 0.003631852999613589;7.0
35;3652; 0.002726176735553213;6.0
35;3652; 0.0018106717849554357;5.0
35;3652; 0.0010399296135287478;4.0
35;3652; 0.0036062255865010433;8.0
35;3652; 0.0031028964881321995;9.0
35;3652; 0.0030016882065456844;12.0
35;3652; 0.002382762207432187;11.0
35;3652; 0.0026145668813968414;13.0
37;1;0.0;3.0
37;1;0.0;2.0
37;1;0.0;4.0
37;1;0.0;5.0
37;1;0.0;7.0
37;1;0.0;12.0
37;1;0.0;6.0
37;1;0.0;8.0
37;1;0.0;9.0
37;2;0.0042208166675517;3.0
37;2;0.0041421631469509;2.0
37;2;0.0027671458027591;4.0
37;2;0.0036933165705427;5.0
37;2;0.0041050618367547;7.0
37;2;0.0032572954467453;12.0
37;2;0.0017319587049557;6.0
37;2;0.0020163246968066;8.0
37;2;0.0023949653226803;9.0
37;7;0.0191768163750198;3.0
37;7;0.0185666163269423;2.0
37;7;0.0120761144508212;4.0
37;7;0.0163502344189411;5.0
37;7;0.0183739655392415;7.0
37;7;0.0119831461906685;12.0
37;7;0.0065871572000917;6.0
37;7;0.0094556236569648;8.0
37;7;0.0099480243634804;9.0
37;30;0.0438076057251904;3.0
37;30;0.0412643172482057;2.0
37;30;0.0332896530520414;4.0
37;30;0.0461235585630376;5.0
37;30;0.0460388261395875;7.0
37;30;0.0345111738904163;12.0
37;30;0.0173966106601116;6.0
37;30;0.0230705923600542;8.0
37;30;0.0310650710676055;9.0
37;90;0.1327850566058465;3.0
37;90;0.1521723189481406;2.0
37;90;0.0950779398507464;4.0
37;90;0.1201495621242839;5.0
37;90;0.1274080188470145;7.0
37;90;0.0639416155171171;12.0
37;90;0.0403317259768416;6.0
37;90;0.0547660488393959;8.0
37;90;0.0851915672180355;9.0
37;182;0.3046425959992441;3.0
37;182;0.3077776392385274;2.0
37;182;0.1570918753689669;4.0
37;182;0.2152104302365829;5.0
37;182;0.2536399824301198;7.0
37;182;0.0836926516504312;12.0
37;182;0.0686957433069524;6.0
37;182;0.1110115936258895;8.0
37;182;0.1528367970968075;9.0
37;365; 0.0031283131574300423;3.0
37;365; 5.6709551800989174e-05;2.0
37;365; 0.0022449047761575916;4.0
37;365; 0.0018901407783915225;5.0
37;365; 0.00258348880284989;7.0
37;365; 0.002427092454116575;12.0
37;365; 0.002053357430413092;6.0
37;365; 6.227427565503887e-05;8.0
37;365; 0.002069701821006955;9.0
37;730;0.5357710546874161;3.0
37;730;0.8350114315482111;2.0
37;730;0.2262658111375849;4.0
37;730;0.2498343773610825;5.0
37;730;0.3614071482030483;7.0
37;730;0.0887751518357118;12.0
37;730;0.0807126314498678;6.0
37;730;0.1722479587761677;8.0
37;730;0.2181481666904194;9.0
37;3652; 0.0031283131574300423;3.0
37;3652; 5.6709551800989174e-05;2.0
37;3652; 0.0022449047761575916;4.0
37;3652; 0.0018901407783915225;5.0
37;3652; 0.00258348880284989;7.0
37;3652; 0.002427092454116575;12.0
37;3652; 0.002053357430413092;6.0
37;3652; 6.227427565503887e-05;8.0
37;3652; 0.002069701821006955;9.0
38;1;0.0;1.0
38;1;0.0;2.0
38;1;0.0;9.0
38;1;0.0;3.0
38;1;0.0;5.0
38;1;0.0;6.0
38;1;0.0;7.0
38;1;0.0;8.0
38;2;0.0043245708065314;1.0
38;2;0.0047130041838266;2.0
38;2;0.002143384352977;9.0
38;2;0.0066687622083071;3.0
38;2;0.0030507580111962;5.0
38;2;0.0039622299882982;6.0
38;2;0.0020037375140996;7.0
38;2;0.0060534256641725;8.0
38;7;0.0199121598652865;1.0
38;7;0.0230208995710137;2.0
38;7;0.008581509127943;9.0
38;7;0.0326604035328864;3.0
38;7;0.0126711251460026;5.0
38;7;0.0172407983129397;6.0
38;7;0.0076484253818778;7.0
38;7;0.0280618828590263;8.0
38;30; 0.002146934105639437;1.0
38;30; 0.002712617335012077;2.0
38;30; 5.258197308384026e-05;9.0
38;30; 0.0021037011591758057;3.0
38;30; 0.002919775094889691;5.0
38;30; 0.004115867494401133;6.0
38;30; 0.002390617179980651;7.0
38;30; 0.005664536439864158;8.0
38;90;0.1624151745273434;1.0
38;90;0.169955258501963;2.0
38;90;0.0485096707170933;9.0
38;90;0.2393593888622028;3.0
38;90;0.0822597009309457;5.0
38;90;0.1157690166150479;6.0
38;90;0.043472953459382;7.0
38;90;0.212110610176092;8.0
38;182;0.3108797863741226;1.0
38;182;0.3580396680889587;2.0
38;182;0.0746576975442947;9.0
38;182;0.518275283521403;3.0
38;182;0.1816653060011675;5.0
38;182;0.2513486875081058;6.0
38;182;0.0762470399852402;7.0
38;182;0.497427410431519;8.0
38;365; 0.002146934105639437;1.0
38;365; 0.002712617335012077;2.0
38;365; 5.258197308384026e-05;9.0
38;365; 0.0021037011591758057;3.0
38;365; 0.002919775094889691;5.0
38;365; 0.004115867494401133;6.0
38;365; 0.002390617179980651;7.0
38;365; 0.005664536439864158;8.0
38;730; 0.002146934105639437;1.0
38;730; 0.002712617335012077;2.0
38;730; 5.258197308384026e-05;9.0
38;730; 0.0021037011591758057;3.0
38;730; 0.002919775094889691;5.0
38;730; 0.004115867494401133;6.0
38;730; 0.002390617179980651;7.0
38;730; 0.005664536439864158;8.0
38;3652; 0.002146934105639437;1.0
38;3652; 0.002712617335012077;2.0
38;3652; 5.258197308384026e-05;9.0
38;3652; 0.0021037011591758057;3.0
38;3652; 0.002919775094889691;5.0
38;3652; 0.004115867494401133;6.0
38;3652; 0.002390617179980651;7.0
38;3652; 0.005664536439864158;8.0
39;1;0.0;2.0
39;1;0.0;3.0
39;1;0.0;5.0
39;1;0.0;4.0
39;1;0.0;8.0
39;1;0.0;9.0
39;1;0.0;7.0
39;2;0.0060689724806875;2.0
39;2;0.0030109019404276;3.0
39;2;0.0039619713336447;5.0
39;2;0.0051726260258397;4.0
39;2;0.002562376066268;8.0
39;2;0.0050130456115152;9.0
39;2;0.0027264817329799;7.0
39;7;0.0294799814692098;2.0
39;7;0.0142638483699564;3.0
39;7;0.0175307908731938;5.0
39;7;0.022883333370144;4.0
39;7;0.0105696932684804;8.0
39;7;0.0240249037142589;9.0
39;7;0.0116952266373218;7.0
39;30;0.0782750438302397;2.0
39;30;0.0386553909417834;3.0
39;30;0.0489691198819128;5.0
39;30;0.0518588443308156;4.0
39;30;0.0278671324771454;8.0
39;30;0.0596922334792388;9.0
39;30;0.0288261342524241;7.0
39;90;0.2627346586657113;2.0
39;90;0.1234922044240667;3.0
39;90;0.1224012568391638;5.0
39;90;0.1293810150574369;4.0
39;90;0.0699042375726936;8.0
39;90;0.1841705984304439;9.0
39;90;0.0768233564627772;7.0
39;182; 0.0020502687752442395;2.0
39;182; 0.002211540020259573;3.0
39;182; 0.0026740309056195897;5.0
39;182; 0.0029559590424926506;4.0
39;182; 0.00254725751574689;8.0
39;182; 0.003682413992337351;9.0
39;182; 7.55271525315221e-05;7.0
39;365;0.6809773972335589;2.0
39;365;0.3062111071553264;3.0
39;365;0.2287345847888473;5.0
39;365;0.2837152939986176;4.0
39;365;0.1377643888636448;8.0
39;365;0.5549172843832204;9.0
39;365;0.1936686341835029;7.0
39;730; 0.0020502687752442395;2.0
39;730; 0.002211540020259573;3.0
39;730; 0.0026740309056195897;5.0
39;730; 0.0029559590424926506;4.0
39;730; 0.00254725751574689;8.0
39;730; 0.003682413992337351;9.0
39;730; 7.55271525315221e-05;7.0
39;3652;1.0645647306087875;2.0
39;3652;0.4927067722691531;3.0
39;3652;0.2693293248052867;5.0
39;3652;0.3493891637918348;4.0
39;3652;0.163505155913793;8.0
39;3652;1.024999425545973;9.0
39;3652;0.2748143102003789;7.0
