Site;Rate;H Error;Satured Zone Area;Vulnerability Sum;Vulnerability Rate;Global Area of site (in cells)
11.0;150.0;0.0598230567838327;534;548.9670410682364;0.0542457550462684;10120
11.0;182.0;0.0809120145894057;534;548.9670410682364;0.0542457550462684;10120
11.0;200.0;0.0702273222818131;534;548.9670410682364;0.0542457550462684;10120
11.0;250.0;0.0852140154232992;534;548.9670410682364;0.0542457550462684;10120
11.0;300.0;0.0890154277610986;534;548.9670410682364;0.0542457550462684;10120
11.0;330.0;0.0959083060330537;534;548.9670410682364;0.0542457550462684;10120
11.0;365.0;0.1027263425009789;534;548.9670410682364;0.0542457550462684;10120
11.0;550.0;0.1610933945548384;534;548.9670410682364;0.0542457550462684;10120
11.0;640.0;0.1117133331586725;534;548.9670410682364;0.0542457550462684;10120
11.0;730.0;0.1622678540420822;534;548.9670410682364;0.0542457550462684;10120
11.0;1000.0;0.1434957831452464;534;548.9670410682364;0.0542457550462684;10120
11.0;1500.0;0.1798236225330244;534;548.9670410682364;0.0542457550462684;10120
11.0;2000.0;0.2277905822790657;534;548.9670410682364;0.0542457550462684;10120
11.0;2250.0;0.1863135281795742;534;548.9670410682364;0.0542457550462684;10120
11.0;3000.0;0.2125360268924517;534;548.9670410682364;0.0542457550462684;10120
11.0;3182.0;0.2254410217221132;534;548.9670410682364;0.0542457550462684;10120
11.0;3652.0;0.2201414820862259;534;548.9670410682364;0.0542457550462684;10120
12.0;1.0;0.0;2772;2829.498026450184;0.0589847410141793;47970
12.0;2.0;0.0031172366230168;2772;2829.498026450184;0.0589847410141793;47970
12.0;7.0;0.0119980742691852;2772;2829.498026450184;0.0589847410141793;47970
12.0;15.0;0.0202381603996584;2772;2829.498026450184;0.0589847410141793;47970
12.0;21.0;0.0255436737593257;2772;2829.498026450184;0.0589847410141793;47970
12.0;30.0;0.0336530456759948;2772;2829.498026450184;0.0589847410141793;47970
12.0;45.0;0.0456663647764526;2772;2829.498026450184;0.0589847410141793;47970
12.0;50.0;0.048765820416689;2772;2829.498026450184;0.0589847410141793;47970
12.0;60.0;0.0557106477275746;2772;2829.498026450184;0.0589847410141793;47970
12.0;75.0;0.0617143037051616;2772;2829.498026450184;0.0589847410141793;47970
12.0;90.0;0.0730083632551525;2772;2829.498026450184;0.0589847410141793;47970
12.0;100.0;0.075515837203816;2772;2829.498026450184;0.0589847410141793;47970
12.0;125.0;0.0892199128887487;2772;2829.498026450184;0.0589847410141793;47970
12.0;150.0;0.0962223954294124;2772;2829.498026450184;0.0589847410141793;47970
12.0;182.0;0.1222048385002407;2772;2829.498026450184;0.0589847410141793;47970
12.0;200.0;0.1097959090683453;2772;2829.498026450184;0.0589847410141793;47970
12.0;250.0;0.1354973370815109;2772;2829.498026450184;0.0589847410141793;47970
12.0;300.0;0.1399019202106291;2772;2829.498026450184;0.0589847410141793;47970
12.0;330.0;0.1373040463940995;2772;2829.498026450184;0.0589847410141793;47970
12.0;365.0;0.1401841306625733;2772;2829.498026450184;0.0589847410141793;47970
12.0;550.0;0.1648644901701096;2772;2829.498026450184;0.0589847410141793;47970
12.0;640.0;0.1571672918013276;2772;2829.498026450184;0.0589847410141793;47970
12.0;730.0;0.1678353858801527;2772;2829.498026450184;0.0589847410141793;47970
12.0;1000.0;0.1657508014468537;2772;2829.498026450184;0.0589847410141793;47970
12.0;1500.0;0.1798460402914341;2772;2829.498026450184;0.0589847410141793;47970
12.0;2000.0;0.2004849205789094;2772;2829.498026450184;0.0589847410141793;47970
12.0;2250.0;0.1929481981907597;2772;2829.498026450184;0.0589847410141793;47970
12.0;3000.0;0.2099046225966859;2772;2829.498026450184;0.0589847410141793;47970
12.0;3182.0;0.213048401364416;2772;2829.498026450184;0.0589847410141793;47970
12.0;3652.0;0.2076715457193804;2772;2829.498026450184;0.0589847410141793;47970
13.0;1.0;0.0;344;348.4827992023804;0.0703153347865981;4956
13.0;2.0;0.0022063438684162;344;348.4827992023804;0.0703153347865981;4956
13.0;7.0;0.0079049822077504;344;348.4827992023804;0.0703153347865981;4956
13.0;15.0;0.0131027301018794;344;348.4827992023804;0.0703153347865981;4956
13.0;21.0;0.0163134425363499;344;348.4827992023804;0.0703153347865981;4956
13.0;30.0;0.021215598309817;344;348.4827992023804;0.0703153347865981;4956
13.0;45.0;0.0288174603152483;344;348.4827992023804;0.0703153347865981;4956
13.0;50.0;0.0304267922884734;344;348.4827992023804;0.0703153347865981;4956
13.0;60.0;0.0346905965629798;344;348.4827992023804;0.0703153347865981;4956
13.0;75.0;0.0387243201545047;344;348.4827992023804;0.0703153347865981;4956
13.0;90.0;0.0459743068795799;344;348.4827992023804;0.0703153347865981;4956
13.0;100.0;0.0469526408581791;344;348.4827992023804;0.0703153347865981;4956
13.0;125.0;0.0553150340899671;344;348.4827992023804;0.0703153347865981;4956
13.0;150.0;0.0594677090973026;344;348.4827992023804;0.0703153347865981;4956
13.0;182.0;0.0731496298288549;344;348.4827992023804;0.0703153347865981;4956
13.0;200.0;0.0658171901360725;344;348.4827992023804;0.0703153347865981;4956
13.0;250.0;0.0779261402350436;344;348.4827992023804;0.0703153347865981;4956
13.0;300.0;0.0792644259288585;344;348.4827992023804;0.0703153347865981;4956
13.0;330.0;0.0779433827626115;344;348.4827992023804;0.0703153347865981;4956
13.0;365.0;0.0799346362186648;344;348.4827992023804;0.0703153347865981;4956
